"","country","continent","year","lifeExp","pop","gdpPercap"
"47","Comoros","Africa",2002,62.974,614382,1075.811558
"48","Mauritius","Africa",1972,62.944,851334,2575.484158
"49","Botswana","Africa",1992,62.745,1342614,7954.111645
"50","Sao Tome and Principe","Africa",1992,62.742,125911,1428.777814
"51","Morocco","Africa",1987,62.677,22987397,2755.046991
"52","Zimbabwe","Africa",1987,62.351,9216418,706.1573059
"53","Mauritania","Africa",2002,62.247,2828858,1579.019543
"54","Libya","Africa",1982,62.155,3344074,17364.27538
"55","Namibia","Africa",1992,61.999,1554253,3804.537999
"56","South Africa","Africa",1992,61.888,39964159,7225.069258
"57","Sao Tome and Principe","Africa",1987,61.728,110812,1516.525457
"58","Senegal","Africa",2002,61.6,10870037,1519.635262
"59","Mauritius","Africa",1967,61.557,789309,2475.387562
"60","Botswana","Africa",1982,61.484,970347,4551.14215
"61","Algeria","Africa",1982,61.368,20033753,5745.160213
"62","Gabon","Africa",1992,61.366,985739,13522.15752
"63","Namibia","Africa",1987,60.835,1278184,3693.731337
"64","South Africa","Africa",1987,60.834,35933379,7825.823398
"65","Comoros","Africa",1997,60.66,527982,1173.618235
"66","Reunion","Africa",1967,60.542,414024,4021.175739
"67","Gabon","Africa",1997,60.461,1126189,14722.84188
"68","Mauritania","Africa",1997,60.43,2444741,1483.136136
"69","Zimbabwe","Africa",1992,60.377,10704340,693.4207856
"70","Zimbabwe","Africa",1982,60.363,7636524,788.8550411
"71","Sao Tome and Principe","Africa",1982,60.351,98593,1890.218117
"72","Mauritius","Africa",1962,60.246,701016,2529.067487
"73","South Africa","Africa",1997,60.236,42835005,7479.188244
"74","Gabon","Africa",1987,60.19,880397,11864.40844
"75","Senegal","Africa",1997,60.187,9535314,1392.368347
"76","Ghana","Africa",2007,60.022,22873338,1327.60891
"77","Tunisia","Africa",1977,59.837,6005061,3120.876811
"78","Egypt","Africa",1987,59.797,52799062,3885.46071
"79","Lesotho","Africa",1992,59.685,1803195,977.4862725
"80","Morocco","Africa",1982,59.65,20198730,2702.620356
"81","Gambia","Africa",2007,59.448,1688359,752.7497265
"82","Madagascar","Africa",2007,59.443,19167654,1044.770126
"83","Kenya","Africa",1987,59.339,21198082,1361.936856
"84","Botswana","Africa",1977,59.319,781472,3214.857818
"85","Kenya","Africa",1992,59.285,25020539,1341.921721
"86","Namibia","Africa",1982,58.968,1099010,4191.100511
"87","Namibia","Africa",1997,58.909,1774766,3899.52426
"88","Kenya","Africa",1982,58.766,17661452,1348.225791
"89","Ghana","Africa",1997,58.556,18418288,1005.245812
"90","Sudan","Africa",2007,58.556,42292929,2602.394995
"91","Sao Tome and Principe","Africa",1977,58.55,86796,1737.561657
"92","Swaziland","Africa",1992,58.474,962344,3553.0224
"93","Ghana","Africa",2002,58.453,20550751,1111.984578
"94","Togo","Africa",2007,58.42,5701579,882.9699438
"95","Togo","Africa",1997,58.39,4320890,982.2869243
"96","Mauritania","Africa",1992,58.333,2119465,1361.369784
"97","Senegal","Africa",1992,58.196,8307920,1367.899369
"98","South Africa","Africa",1982,58.161,31140029,8568.266228
"99","Mauritius","Africa",1957,58.089,609816,2034.037981
"100","Togo","Africa",1992,58.061,3747553,1034.298904
"101","Gambia","Africa",2002,58.041,1457766,660.5855997
"102","Eritrea","Africa",2007,58.04,4906585,641.3695236
"103","Algeria","Africa",1977,58.014,17152804,4910.416756
"104","Comoros","Africa",1992,57.939,454429,1246.90737
"105","Swaziland","Africa",1987,57.678,779348,3984.839812
"106","Zimbabwe","Africa",1977,57.674,6642107,685.5876821
"107","Reunion","Africa",1962,57.666,358900,3173.72334
"108","Togo","Africa",2002,57.561,4977378,886.2205765
"109","Ghana","Africa",1992,57.501,16278738,925.060154
"110","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937
"111","Libya","Africa",1977,57.442,2721783,21951.21176
"112","Madagascar","Africa",2002,57.286,16473477,894.6370822
"113","Lesotho","Africa",1987,57.18,1599200,773.9932141
"114","Togo","Africa",1987,56.941,3154264,1202.201361
"115","Niger","Africa",2007,56.867,12894865,619.6768924
"116","Gabon","Africa",2002,56.761,1299304,12521.71392
"117","Gabon","Africa",2007,56.735,1454867,13206.48452
"118","Benin","Africa",2007,56.728,8078314,1441.284873
"119","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522
"120","Gabon","Africa",1982,56.564,753874,15113.36194
"121","Sao Tome and Principe","Africa",1972,56.48,76595,1532.985254
"122","Namibia","Africa",1977,56.437,977026,3876.485958
"123","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"124","Sudan","Africa",2002,56.369,37090298,1993.398314
"125","Kenya","Africa",1977,56.155,14500404,1267.613204
"126","Mauritania","Africa",1987,56.145,1841240,1421.603576
"127","Botswana","Africa",1972,56.024,619351,2263.611114
"128","Guinea","Africa",2007,56.007,9947814,942.6542111
"129","Egypt","Africa",1982,56.006,45681811,3503.729636
"130","Gambia","Africa",1997,55.861,1235767,653.7301704
"131","Senegal","Africa",1987,55.769,7171347,1441.72072
"132","Morocco","Africa",1977,55.73,18396941,2370.619976
"133","Ghana","Africa",1987,55.729,14168101,847.0061135
"134","Zimbabwe","Africa",1972,55.635,5861135,799.3621758
"135","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978
"136","Tunisia","Africa",1972,55.602,5303507,2753.285994
"137","Swaziland","Africa",1982,55.561,649901,3895.384018
"138","Lesotho","Africa",1997,55.558,1982823,1186.147994
"139","South Africa","Africa",1977,55.527,27129932,8028.651439
"140","Togo","Africa",1982,55.471,2644765,1344.577953
"141","Sudan","Africa",1997,55.373,32160729,1632.210764
"142","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798
"143","Eritrea","Africa",2002,55.24,4414865,765.3500015
"144","Reunion","Africa",1957,55.09,308700,2769.451844
"145","Lesotho","Africa",1982,55.078,1411807,797.2631074
"146","Cameroon","Africa",1987,54.985,10780667,2602.664206
"147","Madagascar","Africa",1997,54.978,14165114,986.2958956
"148","Comoros","Africa",1987,54.926,395114,1315.980812
"149","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683
"150","Djibouti","Africa",2007,54.791,496374,2082.481567
"151","Benin","Africa",1997,54.777,6066080,1232.975292
"152","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069
"153","Algeria","Africa",1972,54.518,14760787,4182.663766
"154","Niger","Africa",2002,54.496,11140655,601.0745012
"155","Mali","Africa",2007,54.467,12031795,1042.581557
"156","Sao Tome and Principe","Africa",1967,54.425,70787,1384.840593
"157","Kenya","Africa",1997,54.407,28263827,1360.485021
"158","Benin","Africa",2002,54.406,7026113,1372.877931
"159","Cameroon","Africa",1992,54.314,12467171,1793.163278
"160","Swaziland","Africa",1997,54.289,1054486,3876.76846
"161","Kenya","Africa",2007,54.11,35610177,1463.249282
"162","Zimbabwe","Africa",1967,53.995,4995432,569.7950712
"163","Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169
"164","Benin","Africa",1992,53.919,4981671,1191.207681
"165","Namibia","Africa",1972,53.867,821782,3746.080948
"166","Ghana","Africa",1982,53.744,11400338,876.032569
"167","South Africa","Africa",1972,53.696,23935810,7765.962636
"168","Guinea","Africa",2002,53.676,8807818,945.5835837
"169","Mauritania","Africa",1982,53.599,1622136,1481.150189
"170","Kenya","Africa",1972,53.559,12044785,1222.359968
"171","Sudan","Africa",1992,53.556,28227588,1492.197043
"172","Eritrea","Africa",1997,53.378,4058319,913.47079
"173","Djibouti","Africa",2002,53.373,447416,1908.260867
"174","South Africa","Africa",2002,53.365,44433622,7710.946444
"175","Egypt","Africa",1977,53.319,38783863,2785.493582
"176","Botswana","Africa",1967,53.298,553541,1214.709294
"177","Djibouti","Africa",1997,53.157,417908,1895.016984
"178","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"179","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"180","Cameroon","Africa",1982,52.961,9250831,2367.983282
"181","Ethiopia","Africa",2007,52.947,76511887,690.8055759
"182","Comoros","Africa",1982,52.933,348643,1267.100083
"183","Namibia","Africa",2007,52.906,2055080,4811.060429
"184","Togo","Africa",1977,52.887,2308582,1532.776998
"185","Morocco","Africa",1972,52.862,16660670,1930.194975
"186","Gabon","Africa",1977,52.79,706367,21745.57328
"187","Libya","Africa",1972,52.773,2183877,21011.49721
"188","Reunion","Africa",1952,52.724,257700,2718.885295
"189","Gambia","Africa",1992,52.644,1025384,665.6244126
"190","Botswana","Africa",1997,52.556,1536536,8647.142313
"191","Swaziland","Africa",1977,52.537,551425,3781.410618
"192","Tanzania","Africa",2007,52.517,38139640,1107.482182
"193","Senegal","Africa",1982,52.379,6147783,1518.479984
"194","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547
"195","Zimbabwe","Africa",1962,52.358,4277736,527.2721818
"196","Benin","Africa",1987,52.337,4243788,1225.85601
"197","Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"198","Madagascar","Africa",1992,52.214,12210395,1040.67619
"199","Lesotho","Africa",1977,52.208,1251524,745.3695408
"200","Cameroon","Africa",1997,52.199,14195809,1694.337469
"201","Tunisia","Africa",1967,52.053,4786986,1932.360167
"202","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"203","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642
"204","South Africa","Africa",1967,51.927,20997321,7114.477971
"205","Sao Tome and Principe","Africa",1962,51.893,65345,1071.551119
"206","Zambia","Africa",1982,51.821,6100407,1408.678565
"207","Mali","Africa",2002,51.818,10580176,951.4097518
"208","Ghana","Africa",1977,51.756,10538093,993.2239571
"209","Sudan","Africa",1987,51.744,24725960,1507.819159
"210","Chad","Africa",1992,51.724,6429417,1058.0643
"211","Djibouti","Africa",1992,51.604,384156,2377.156192
"212","Equatorial Guinea","Africa",2007,51.579,551201,12154.08975
"213","Chad","Africa",1997,51.573,7562011,1004.961353
"214","Uganda","Africa",2007,51.542,29170398,1056.380121
"215","Tanzania","Africa",1987,51.535,23040630,831.8220794
"216","Botswana","Africa",1962,51.52,512764,983.6539764
"217","Uganda","Africa",1987,51.509,15283050,617.7244065
"218","Namibia","Africa",2002,51.479,1972153,4072.324751
"219","Guinea","Africa",1997,51.455,8048834,869.4497668
"220","Algeria","Africa",1967,51.407,12760499,3246.991771
"221","Zambia","Africa",1977,51.386,5216550,1588.688299
"222","Niger","Africa",1997,51.313,9666252,580.3052092
"223","Namibia","Africa",1967,51.159,706640,3793.694753
"224","Egypt","Africa",1972,51.137,34807417,2024.008147
"225","Chad","Africa",1987,51.051,5498955,952.386129
"226","Uganda","Africa",1972,51.016,10190285,950.735869
"227","Kenya","Africa",2002,50.992,31386842,1287.514732
"228","Mauritius","Africa",1952,50.986,516556,1967.955707
"229","Comoros","Africa",1977,50.939,304739,1172.603047
"230","Benin","Africa",1982,50.904,3641603,1277.897616
"231","Mauritania","Africa",1977,50.852,1456688,1497.492223
"232","Zambia","Africa",1987,50.821,7272406,1213.315116
"233","Botswana","Africa",2007,50.728,1639131,12569.85177
"234","Ethiopia","Africa",2002,50.725,67946797,530.0535319
"235","Kenya","Africa",1967,50.654,10191512,1056.736457
"236","Chad","Africa",2007,50.651,10238807,1704.063724
"237","Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"238","Tanzania","Africa",1982,50.608,19844382,874.2426069
"239","Chad","Africa",2002,50.525,8835739,1156.18186
"240","Central African Republic","Africa",1987,50.485,2840009,844.8763504
"241","Zimbabwe","Africa",1957,50.469,3646340,518.7642681
"242","Tanzania","Africa",1992,50.44,26605473,825.682454
"243","Cameroon","Africa",2007,50.43,17696293,2042.09524
"244","Uganda","Africa",1977,50.35,11457758,843.7331372
"245","Sudan","Africa",1982,50.338,20367053,1895.544073
"246","Morocco","Africa",1967,50.335,14770296,1711.04477
"247","Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"248","Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"249","Libya","Africa",1967,50.227,1759224,18772.75169
"250","Zambia","Africa",1972,50.107,4506497,1773.498265
"251","Djibouti","Africa",1987,50.04,311025,2880.102568
"252","Eritrea","Africa",1992,49.991,3668440,582.8585102
"253","South Africa","Africa",1962,49.951,18356657,5768.729717
"254","Tanzania","Africa",1977,49.919,17129565,962.4922932
"255","Mali","Africa",1997,49.903,9384984,790.2579846
"256","Ghana","Africa",1972,49.875,9354120,1178.223708
"257","Cameroon","Africa",2002,49.856,15929988,1934.011449
"258","Uganda","Africa",1982,49.849,12939400,682.2662268
"259","Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111
"260","Lesotho","Africa",1972,49.767,1116779,496.5815922
"261","Togo","Africa",1972,49.759,2056351,1649.660188
"262","Tanzania","Africa",2002,49.651,34593779,899.0742111
"263","Botswana","Africa",1957,49.618,474639,918.2325349
"264","Burundi","Africa",2007,49.58,8390505,430.0706916
"265","Tunisia","Africa",1962,49.579,4286552,1660.30321
"266","Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"267","Swaziland","Africa",1972,49.552,480105,3364.836625
"268","Chad","Africa",1982,49.517,4875118,797.9081006
"269","Malawi","Africa",1992,49.42,10014249,563.2000145
"270","Ethiopia","Africa",1997,49.402,59861301,515.8894013
"271","Central African Republic","Africa",1992,49.396,3265124,747.9055252
"272","Cameroon","Africa",1977,49.355,7959865,1783.432873
"273","Madagascar","Africa",1987,49.35,10568642,1155.441948
"274","Equatorial Guinea","Africa",2002,49.348,495627,7703.4959
"275","South Africa","Africa",2007,49.339,43997828,9269.657808
"276","Egypt","Africa",1967,49.293,31681188,1814.880728
"277","Gambia","Africa",1987,49.265,848406,611.6588611
"278","Benin","Africa",1977,49.19,3168267,1029.161251
"279","Madagascar","Africa",1982,48.969,9171477,1302.878658
"280","Sao Tome and Principe","Africa",1957,48.945,61325,860.7369026
"281","Comoros","Africa",1972,48.944,250027,1937.577675
"282","Senegal","Africa",1977,48.879,5260855,1561.769116
"283","Uganda","Africa",1992,48.825,18252190,644.1707969
"284","Djibouti","Africa",1982,48.812,305991,2879.468067
"285","Gabon","Africa",1972,48.69,537977,11401.94841
"286","Guinea","Africa",1992,48.576,6990574,794.3484384
"287","Lesotho","Africa",1967,48.492,996380,498.6390265
"288","Tanzania","Africa",1997,48.466,30686889,789.1862231
"289","Zimbabwe","Africa",1952,48.451,3080907,406.8841148
"290","Mauritania","Africa",1972,48.437,1332786,1586.851781
"291","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157
"292","Mali","Africa",1992,48.388,8416215,739.014375
"293","Namibia","Africa",1962,48.386,621392,3173.215595
"294","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"295","Algeria","Africa",1962,48.303,11000948,2550.81688
"296","Malawi","Africa",2007,48.303,13327079,759.3499101
"297","Central African Republic","Africa",1982,48.295,2476971,956.7529907
"298","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"299","Burundi","Africa",1987,48.211,5126023,621.8188189
"300","Somalia","Africa",2007,48.159,9118773,926.1410683
"301","Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"302","Ethiopia","Africa",1992,48.091,52088559,421.3534653
"303","Ghana","Africa",1967,48.072,8490213,1125.69716
"304","Uganda","Africa",1967,48.051,8900294,908.9185217
"305","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"306","South Africa","Africa",1957,47.985,16151549,5487.104219
"307","Kenya","Africa",1962,47.949,8678557,896.9663732
"308","Morocco","Africa",1962,47.924,13056604,1566.353493
"309","Uganda","Africa",2002,47.813,24739869,927.7210018
"310","Libya","Africa",1962,47.808,1441863,6757.030816
"311","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282
"312","Sudan","Africa",1977,47.8,17104986,2202.988423
"313","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"314","Zambia","Africa",1967,47.768,3900000,1777.077318
"315","Lesotho","Africa",1962,47.747,893143,411.8006266
"316","Botswana","Africa",1952,47.622,442308,851.2411407
"317","Tanzania","Africa",1972,47.62,14706593,915.9850592
"318","Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"319","Malawi","Africa",1997,47.495,10419991,692.2758103
"320","Nigeria","Africa",1992,47.472,93364244,1619.848217
"321","Burundi","Africa",1982,47.471,4580410,559.603231
"322","Nigeria","Africa",1997,47.464,106207839,1624.941275
"323","Malawi","Africa",1987,47.457,7824747,635.5173634
"324","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"325","Niger","Africa",1992,47.391,8392818,581.182725
"326","Chad","Africa",1977,47.383,4388260,1133.98495
"327","Burundi","Africa",2002,47.36,7021078,446.4035126
"328","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"329","Tunisia","Africa",1957,47.1,3950849,1395.232468
"330","Cameroon","Africa",1972,47.049,7021028,1684.146528
"331","Benin","Africa",1972,47.014,2761407,1085.796879
"332","Egypt","Africa",1962,46.992,28173309,1693.335853
"333","Nigeria","Africa",1987,46.886,81551520,1385.029563
"334","Madagascar","Africa",1977,46.881,8007166,1544.228586
"335","Nigeria","Africa",2007,46.859,135031164,2013.977305
"336","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"337","Zimbabwe","Africa",1997,46.809,11404948,792.4499603
"338","Central African Republic","Africa",1977,46.775,2167533,1109.374338
"339","Togo","Africa",1967,46.769,1735550,1477.59676
"340","Ethiopia","Africa",1987,46.684,42999530,573.7413142
"341","Botswana","Africa",2002,46.634,1630347,11003.60508
"342","Swaziland","Africa",1967,46.633,420690,2613.101665
"343","Nigeria","Africa",2002,46.608,119901274,1615.286395
"344","Djibouti","Africa",1977,46.519,228694,3081.761022
"345","Comoros","Africa",1967,46.472,217378,1876.029643
"346","Sao Tome and Principe","Africa",1952,46.471,60011,879.5835855
"347","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"348","Eritrea","Africa",1987,46.453,2915959,521.1341333
"349","Ghana","Africa",1962,46.452,7355248,1190.041118
"350","Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"351","Mali","Africa",1987,46.364,7634008,684.1715576
"352","Mozambique","Africa",1997,46.344,16603334,472.3460771
"353","Mauritania","Africa",1967,46.289,1230542,1421.145193
"354","Rwanda","Africa",2007,46.242,8860588,863.0884639
"355","Rwanda","Africa",1982,46.218,5507565,881.5706467
"356","Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"357","Zambia","Africa",1992,46.1,8381163,1210.884633
"358","Central African Republic","Africa",1997,46.066,3696513,740.5063317
"359","Liberia","Africa",1987,46.027,2269414,506.1138573
"360","Zambia","Africa",1962,46.023,3421000,1452.725766
"361","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685
"362","Somalia","Africa",2002,45.936,7753310,882.0818218
"363","Burundi","Africa",1977,45.91,3834415,556.1032651
"364","Nigeria","Africa",1982,45.826,73039376,1576.97375
"365","Senegal","Africa",1972,45.815,4588696,1597.712056
"366","Tanzania","Africa",1967,45.757,12607312,848.2186575
"367","Algeria","Africa",1957,45.685,10270856,3013.976023
"368","Liberia","Africa",2007,45.678,3193942,414.5073415
"369","Equatorial Guinea","Africa",1987,45.664,341244,966.8968149
"370","Malawi","Africa",1982,45.642,6502825,632.8039209
"371","Gambia","Africa",1982,45.58,715523,835.8096108
"372","Chad","Africa",1972,45.569,3899068,1104.103987
"373","Guinea","Africa",1987,45.552,5650262,805.5724718
"374","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"375","Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"376","Morocco","Africa",1957,45.423,11406350,1642.002314
"377","Uganda","Africa",1962,45.344,7688797,767.2717398
"378","Burundi","Africa",1997,45.326,6121610,463.1151478
"379","Libya","Africa",1957,45.289,1201578,3448.284395
"380","Namibia","Africa",1957,45.226,548080,2621.448058
"381","Sudan","Africa",1972,45.083,14597019,1659.652775
"382","Congo, Rep.","Africa",1957,45.053,940458,2315.056572
"383","Lesotho","Africa",1957,45.047,813338,335.9971151
"384","Malawi","Africa",2002,45.009,11824495,665.4231186
"385","South Africa","Africa",1952,45.009,14264935,4725.295531
"386","Rwanda","Africa",1977,45,4657072,670.0806011
"387","Swaziland","Africa",1962,44.992,370006,1856.182125
"388","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"389","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428
"390","Ethiopia","Africa",1982,44.916,38111756,577.8607471
"391","Benin","Africa",1967,44.885,2427334,1035.831411
"392","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"393","Liberia","Africa",1982,44.852,1956875,572.1995694
"394","Madagascar","Africa",1972,44.851,7082430,1748.562982
"395","Cameroon","Africa",1967,44.799,6335506,1508.453148
"396","Ghana","Africa",1957,44.779,6391288,1043.561537
"397","Central African Republic","Africa",2007,44.741,4369038,706.016537
"398","Burundi","Africa",1992,44.736,5809236,631.6998778
"399","Kenya","Africa",1957,44.686,7454779,944.4383152
"400","Rwanda","Africa",1972,44.6,3992121,590.5806638
"401","Tunisia","Africa",1952,44.6,3647735,1468.475631
"402","Gabon","Africa",1967,44.598,489004,8358.761987
"403","Lesotho","Africa",2002,44.593,2046772,1275.184575
"404","Uganda","Africa",1997,44.578,21210254,816.559081
"405","Niger","Africa",1987,44.555,7332638,668.3000228
"406","Eritrea","Africa",1977,44.535,2512642,505.7538077
"407","Nigeria","Africa",1977,44.514,62209173,1981.951806
"408","Ethiopia","Africa",1977,44.51,34617799,556.8083834
"409","Somalia","Africa",1987,44.501,6921858,1093.244963
"410","Comoros","Africa",1962,44.467,191689,1406.648278
"411","Egypt","Africa",1957,44.444,25009741,1458.915272
"412","Djibouti","Africa",1972,44.366,178848,3694.212352
"413","Mozambique","Africa",1992,44.284,13160731,410.8968239
"414","Mauritania","Africa",1962,44.248,1146757,1055.896036
"415","Tanzania","Africa",1962,44.246,10863958,722.0038073
"416","Eritrea","Africa",1972,44.142,2260187,514.3242082
"417","Rwanda","Africa",1967,44.1,3451079,510.9637142
"418","Zambia","Africa",1957,44.077,3016000,1311.956766
"419","Burundi","Africa",1972,44.057,3529983,464.0995039
"420","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424
"421","Mozambique","Africa",2002,44.026,18473780,633.6179466
"422","Rwanda","Africa",1987,44.02,6349365,847.991217
"423","Togo","Africa",1962,43.922,1528098,1067.53481
"424","Mali","Africa",1982,43.916,6998256,618.0140641
"425","Eritrea","Africa",1982,43.89,2637297,524.8758493
"426","Swaziland","Africa",2002,43.869,1130269,4128.116943
"427","Somalia","Africa",1997,43.795,6633514,930.5964284
"428","Malawi","Africa",1977,43.767,5637246,663.2236766
"429","Liberia","Africa",1977,43.764,1703617,640.3224383
"430","Liberia","Africa",2002,43.753,2814651,531.4823679
"431","Equatorial Guinea","Africa",1982,43.662,285483,927.8253427
"432","Chad","Africa",1967,43.601,3495967,1196.810565
"433","Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"434","Senegal","Africa",1967,43.563,3965841,1612.404632
"435","Burundi","Africa",1967,43.548,3330989,412.9775136
"436","Ethiopia","Africa",1972,43.515,30770372,566.2439442
"437","Zimbabwe","Africa",2007,43.487,12311143,469.7092981
"438","Central African Republic","Africa",1972,43.457,1927260,1070.013275
"439","Swaziland","Africa",1957,43.424,326741,1244.708364
"440","Rwanda","Africa",2002,43.413,7852401,785.6537648
"441","Central African Republic","Africa",2002,43.308,4048013,738.6906068
"442","Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706
"443","Ghana","Africa",1952,43.149,5581001,911.2989371
"444","Algeria","Africa",1952,43.077,9279525,2449.008185
"445","Rwanda","Africa",1962,43,3051242,597.4730727
"446","Tanzania","Africa",1957,42.974,9452826,698.5356073
"447","Somalia","Africa",1982,42.955,5828892,1176.807031
"448","Guinea","Africa",1982,42.891,4710497,857.2503577
"449","Madagascar","Africa",1967,42.881,6334556,1634.047282
"450","Morocco","Africa",1952,42.873,9939217,1688.20357
"451","Mozambique","Africa",1987,42.861,12891952,389.8761846
"452","Sudan","Africa",1967,42.858,12716129,1687.997641
"453","Nigeria","Africa",1972,42.821,53740085,1698.388838
"454","Mozambique","Africa",1982,42.795,12587223,462.2114149
"455","Angola","Africa",2007,42.731,12420476,4797.231267
"456","Libya","Africa",1952,42.723,1019729,2387.54806
"457","Cameroon","Africa",1962,42.643,5793633,1399.607441
"458","Benin","Africa",1962,42.618,2151895,949.4990641
"459","Liberia","Africa",1972,42.614,1482628,803.0054535
"460","Niger","Africa",1982,42.598,6437188,909.7221354
"461","Lesotho","Africa",2007,42.592,2012649,1569.331442
"462","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"463","Uganda","Africa",1957,42.571,6675501,774.3710692
"464","Sierra Leone","Africa",2007,42.568,6144562,862.5407561
"465","Mozambique","Africa",1977,42.495,11127868,502.3197334
"466","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925
"467","Comoros","Africa",1957,42.46,170928,1211.148548
"468","Zambia","Africa",2007,42.384,11746035,1271.211593
