"","country","continent","year","lifeExp","pop","gdpPercap"
"350","Bangladesh","Asia",1967,43.453,62821884,721.1860862
"351","Pakistan","Asia",1952,43.436,41346560,684.5971438
"352","Cambodia","Asia",1962,43.415,6083619,496.9136476
"353","Oman","Asia",1962,43.165,628164,2924.638113
"354","West Bank and Gaza","Asia",1952,43.16,1030585,1515.592329
"355","Jordan","Asia",1952,43.158,607914,1546.907807
"356","Vietnam","Asia",1957,42.887,28998543,676.2854478
"357","Saudi Arabia","Asia",1957,42.868,4419650,8157.591248
"358","Indonesia","Asia",1962,42.518,99028000,849.2897701
"359","Mongolia","Asia",1952,42.244,800663,786.5668575
"360","Afghanistan","Asia",2002,42.129,25268405,726.7340548
"361","Myanmar","Asia",1957,41.905,21731844,350
"362","Afghanistan","Asia",1997,41.763,22227415,635.341351
"363","Afghanistan","Asia",1992,41.674,16317921,649.3413952
"364","Nepal","Asia",1967,41.472,11261690,676.4422254
"365","Cambodia","Asia",1957,41.366,5322536,434.0383364
"366","Bangladesh","Asia",1962,41.216,56839289,686.3415538
"367","Afghanistan","Asia",1987,40.822,13867957,852.3959448
"368","Vietnam","Asia",1952,40.412,26246839,605.0664917
"369","Cambodia","Asia",1972,40.317,7450606,421.6240257
"370","India","Asia",1957,40.249,409000000,590.061996
"371","Oman","Asia",1957,40.08,561977,2242.746551
"372","Indonesia","Asia",1957,39.918,90124000,858.9002707
"373","Saudi Arabia","Asia",1952,39.875,4005677,6459.554823
"374","Afghanistan","Asia",1982,39.854,12881816,978.0114388
"375","Yemen, Rep.","Asia",1972,39.848,7407075,1265.047031
"376","Cambodia","Asia",1952,39.417,4693836,368.4692856
"377","Nepal","Asia",1962,39.393,10332057,652.3968593
"378","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"379","Afghanistan","Asia",1977,38.438,14880372,786.11336
"380","Nepal","Asia",1957,37.686,9682338,597.9363558
"381","Oman","Asia",1952,37.578,507833,1828.230307
"382","Bangladesh","Asia",1952,37.484,46886859,684.2441716
"383","Indonesia","Asia",1952,37.468,82052000,749.6816546
"384","India","Asia",1952,37.373,372000000,546.5657493
"385","Yemen, Rep.","Asia",1967,36.984,6740785,862.4421463
"386","Myanmar","Asia",1952,36.319,20092996,331
"387","Nepal","Asia",1952,36.157,9182536,545.8657229
"388","Afghanistan","Asia",1972,36.088,13079460,739.9811058
"389","Yemen, Rep.","Asia",1962,35.18,6120081,825.6232006
"390","Afghanistan","Asia",1967,34.02,11537966,836.1971382
"391","Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
"392","Yemen, Rep.","Asia",1952,32.548,4963829,781.7175761
"393","Afghanistan","Asia",1962,31.997,10267083,853.10071
"394","Cambodia","Asia",1977,31.22,6978607,524.9721832
"395","Afghanistan","Asia",1957,30.332,9240934,820.8530296
"396","Afghanistan","Asia",1952,28.801,8425333,779.4453145
